variant	canon	group	genus	family	category	founder_crop	edibility	grass_type	legume_type	wood
Panicum miliaceum	Panicum miliaceum	Panicum spp. (incl. miliaceum, turgidum)	Panicum	Poaceae	Grasses	NA	Edible seed/fruit	Small-seeded	NA	NA
Panicum	Panicum sp.	Panicum spp. (incl. miliaceum, turgidum)	Panicum	Poaceae	Grasses	NA	Edible seed/fruit	Small-seeded	NA	NA
Panicum sp.	Panicum sp.	Panicum spp. (incl. miliaceum, turgidum)	Panicum	Poaceae	Grasses	NA	Edible seed/fruit	Small-seeded	NA	NA
Panicum turgidum	Panicum turgidum	Panicum spp. (incl. miliaceum, turgidum)	Panicum	Poaceae	Grasses	NA	Edible seed/fruit	Small-seeded	NA	NA
Papaver dubium L.	Papaver dubium	Papaver spp. (incl. dubium, setigerum)	Papaver	Papaveraceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Papaver setigerum	Papaver setigerum	Papaver spp. (incl. dubium, setigerum)	Papaver	Papaveraceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Papaver	Papaver sp.	Papaver spp. (incl. dubium, setigerum)	Papaver	Papaveraceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Papaver sp.	Papaver sp.	Papaver spp. (incl. dubium, setigerum)	Papaver	Papaveraceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Papaver sp. (mineralized)	Papaver sp.	Papaver spp. (incl. dubium, setigerum)	Papaver	Papaveraceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Peganum harmala	Peganum harmala	Peganum spp. (incl. harmala)	Peganum	Nitrariaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Peganum harmala L.	Peganum harmala	Peganum spp. (incl. harmala)	Peganum	Nitrariaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Peganum sp.	Peganum sp.	Peganum spp. (incl. harmala)	Peganum	Nitrariaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Phalaris minor Retz	Phalaris minor	Phalaris spp. (incl. minor, paradoxa, tuberosa)	Phalaris	Poaceae	Grasses	NA	Edible seed/fruit	Small-seeded	NA	NA
Phalaris paradoxa	Phalaris paradoxa	Phalaris spp. (incl. minor, paradoxa, tuberosa)	Phalaris	Poaceae	Grasses	NA	Edible seed/fruit	Small-seeded	NA	NA
Phalaris paradoxa L.	Phalaris paradoxa	Phalaris spp. (incl. minor, paradoxa, tuberosa)	Phalaris	Poaceae	Grasses	NA	Edible seed/fruit	Small-seeded	NA	NA
cf. Phalaris sp.	Phalaris sp.	Phalaris spp. (incl. minor, paradoxa, tuberosa)	Phalaris	Poaceae	Grasses	NA	Edible seed/fruit	Small-seeded	NA	NA
Phalaris	Phalaris sp.	Phalaris spp. (incl. minor, paradoxa, tuberosa)	Phalaris	Poaceae	Grasses	NA	Edible seed/fruit	Small-seeded	NA	NA
Phalaris aquatica/paradoxa	Phalaris sp.	Phalaris spp. (incl. minor, paradoxa, tuberosa)	Phalaris	Poaceae	Grasses	NA	Edible seed/fruit	Small-seeded	NA	NA
Phalaris sp.	Phalaris sp.	Phalaris spp. (incl. minor, paradoxa, tuberosa)	Phalaris	Poaceae	Grasses	NA	Edible seed/fruit	Small-seeded	NA	NA
Phalaris type	Phalaris sp.	Phalaris spp. (incl. minor, paradoxa, tuberosa)	Phalaris	Poaceae	Grasses	NA	Edible seed/fruit	Small-seeded	NA	NA
Phalaris tuberosa	Phalaris tuberosa	Phalaris spp. (incl. minor, paradoxa, tuberosa)	Phalaris	Poaceae	Grasses	NA	Edible seed/fruit	Small-seeded	NA	NA
Phleum	Phleum sp.	Phleum sp.	Phleum	Poaceae	Grasses	NA	Edible seed/fruit	Small-seeded	NA	NA
Phleum sp.	Phleum sp.	Phleum sp.	Phleum	Poaceae	Grasses	NA	Edible seed/fruit	Small-seeded	NA	NA
Phoenix dactylifera L.	Phoenix dactylifera	Phoenix spp. (incl. dactylifera, theophrasti)	Phoenix	Phoeniaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Phoenix dactylifera L. wood	Phoenix dactylifera	Phoenix spp. (incl. dactylifera, theophrasti)	Phoenix	Phoeniaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	TRUE
Phoenix theophrasti	Phoenix theophrasti	Phoenix spp. (incl. dactylifera, theophrasti)	Phoenix	Phoeniaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Phragmites australis	Phragmites australis	Phragmites australis	Phragmites	Poaceae	Grasses	NA	Edible seed/fruit	Small-seeded	NA	NA
Phragmites australis (Cav.) Trin.	Phragmites australis	Phragmites australis	Phragmites	Poaceae	Grasses	NA	Edible seed/fruit	Small-seeded	NA	NA
Physalis alkekengi L.	Physalis alkekengi	Physalis alkekengi	Physalis	Solanaceae	Wild plants	NA		NA	NA	NA
Picris sp. L.	Picris sp.	Picris sp.	Picris	Asteraceae	Wild plants	NA		NA	NA	NA
Pinus halepensis	Pinus halepensis	Pinus halepensis	Pinus	Pinaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Piptatherum miliaceum	Piptatherum miliaceum	Piptatherum miliaceum	Piptatherum	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Pistacia atlantica	Pistacia atlantica	Pistacia spp. (incl. atlantica, lentiscus, palaestina, terebinthus, vera)	Pistacia	Anacardiaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Pistacia atlantica Desf.	Pistacia atlantica	Pistacia spp. (incl. atlantica, lentiscus, palaestina, terebinthus, vera)	Pistacia	Anacardiaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Pistacia atlantica Desf. wood	Pistacia atlantica	Pistacia spp. (incl. atlantica, lentiscus, palaestina, terebinthus, vera)	Pistacia	Anacardiaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	TRUE
Pistacia lentiscus	Pistacia lentiscus	Pistacia spp. (incl. atlantica, lentiscus, palaestina, terebinthus, vera)	Pistacia	Anacardiaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Pistacia lentiscus L. wood	Pistacia lentiscus	Pistacia spp. (incl. atlantica, lentiscus, palaestina, terebinthus, vera)	Pistacia	Anacardiaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	TRUE
Pistacia palaestina	Pistacia palaestina	Pistacia spp. (incl. atlantica, lentiscus, palaestina, terebinthus, vera)	Pistacia	Anacardiaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Pistacia palaestina wood	Pistacia palaestina	Pistacia spp. (incl. atlantica, lentiscus, palaestina, terebinthus, vera)	Pistacia	Anacardiaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	TRUE
cf. Pistacia sp.	Pistacia sp.	Pistacia spp. (incl. atlantica, lentiscus, palaestina, terebinthus, vera)	Pistacia	Anacardiaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Pistacia	Pistacia sp.	Pistacia spp. (incl. atlantica, lentiscus, palaestina, terebinthus, vera)	Pistacia	Anacardiaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Pistacia atlantica/khinjuk	Pistacia sp.	Pistacia spp. (incl. atlantica, lentiscus, palaestina, terebinthus, vera)	Pistacia	Anacardiaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Pistacia atlantica/palaestina	Pistacia sp.	Pistacia spp. (incl. atlantica, lentiscus, palaestina, terebinthus, vera)	Pistacia	Anacardiaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Pistacia atlantica/terebinthus	Pistacia sp.	Pistacia spp. (incl. atlantica, lentiscus, palaestina, terebinthus, vera)	Pistacia	Anacardiaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Pistacia sp.	Pistacia sp.	Pistacia spp. (incl. atlantica, lentiscus, palaestina, terebinthus, vera)	Pistacia	Anacardiaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Pistacia terebinthus/lentiscus	Pistacia sp.	Pistacia spp. (incl. atlantica, lentiscus, palaestina, terebinthus, vera)	Pistacia	Anacardiaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Pistacia terebinthus	Pistacia terebinthus	Pistacia spp. (incl. atlantica, lentiscus, palaestina, terebinthus, vera)	Pistacia	Anacardiaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Pistacia terebinthus L.	Pistacia terebinthus	Pistacia spp. (incl. atlantica, lentiscus, palaestina, terebinthus, vera)	Pistacia	Anacardiaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Pistacia vera L.	Pistacia vera	Pistacia spp. (incl. atlantica, lentiscus, palaestina, terebinthus, vera)	Pistacia	Anacardiaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Pisticia spp.	Pistacia sp.	Pistacia spp. (incl. atlantica, lentiscus, palaestina, terebinthus, vera)	Pistacia	Anacardiaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Pisum elatius	Pisum elatius	Pisum spp. (incl. elatius, sativum)	Pisum	Fabaceae	Pulses	pea	Edible seed/fruit	NA	Large/medium-seeded	NA
Pisum elatius Bieb.	Pisum elatius	Pisum spp. (incl. elatius, sativum)	Pisum	Fabaceae	Pulses	pea	Edible seed/fruit	NA	Large/medium-seeded	NA
Pisum sativum	Pisum sativum	Pisum spp. (incl. elatius, sativum)	Pisum	Fabaceae	Pulses	pea	Edible seed/fruit	NA	Large/medium-seeded	NA
Pisum sativum L.	Pisum sativum	Pisum spp. (incl. elatius, sativum)	Pisum	Fabaceae	Pulses	pea	Edible seed/fruit	NA	Large/medium-seeded	NA
cf. Pisum sp.	Pisum sp.	Pisum spp. (incl. elatius, sativum)	Pisum	Fabaceae	Pulses	pea	Edible seed/fruit	NA	Large/medium-seeded	NA
Pisum	Pisum sp.	Pisum spp. (incl. elatius, sativum)	Pisum	Fabaceae	Pulses	pea	Edible seed/fruit	NA	Large/medium-seeded	NA
Pisum sp.	Pisum sp.	Pisum spp. (incl. elatius, sativum)	Pisum	Fabaceae	Pulses	pea	Edible seed/fruit	NA	Large/medium-seeded	NA
Plantago amplexicaulis	Plantago amplexicaulis	Plantago spp. (amplexicaulis, arenaria, coronopus, lagopus, lanceolata, major, ovata, psyllium, squarrosa)	Plantago	Plantaginaceae	Wild plants	NA		NA	NA	NA
Plantago arenaria type	Plantago arenaria	Plantago spp. (amplexicaulis, arenaria, coronopus, lagopus, lanceolata, major, ovata, psyllium, squarrosa)	Plantago	Plantaginaceae	Wild plants	NA		NA	NA	NA
Plantago coronopus	Plantago coronopus	Plantago spp. (amplexicaulis, arenaria, coronopus, lagopus, lanceolata, major, ovata, psyllium, squarrosa)	Plantago	Plantaginaceae	Wild plants	NA		NA	NA	NA
Plantago lagopus	Plantago lagopus	Plantago spp. (amplexicaulis, arenaria, coronopus, lagopus, lanceolata, major, ovata, psyllium, squarrosa)	Plantago	Plantaginaceae	Wild plants	NA		NA	NA	NA
Plantago lanceolata	Plantago lanceolata	Plantago spp. (amplexicaulis, arenaria, coronopus, lagopus, lanceolata, major, ovata, psyllium, squarrosa)	Plantago	Plantaginaceae	Wild plants	NA		NA	NA	NA
Plantago major	Plantago major	Plantago spp. (amplexicaulis, arenaria, coronopus, lagopus, lanceolata, major, ovata, psyllium, squarrosa)	Plantago	Plantaginaceae	Wild plants	NA		NA	NA	NA
Plantago ovata	Plantago ovata	Plantago spp. (amplexicaulis, arenaria, coronopus, lagopus, lanceolata, major, ovata, psyllium, squarrosa)	Plantago	Plantaginaceae	Wild plants	NA		NA	NA	NA
Plantago psyllium	Plantago psyllium	Plantago spp. (amplexicaulis, arenaria, coronopus, lagopus, lanceolata, major, ovata, psyllium, squarrosa)	Plantago	Plantaginaceae	Wild plants	NA		NA	NA	NA
Plantago	Plantago sp.	Plantago spp. (amplexicaulis, arenaria, coronopus, lagopus, lanceolata, major, ovata, psyllium, squarrosa)	Plantago	Plantaginaceae	Wild plants	NA		NA	NA	NA
Plantago notata/ovata	Plantago sp.	Plantago spp. (amplexicaulis, arenaria, coronopus, lagopus, lanceolata, major, ovata, psyllium, squarrosa)	Plantago	Plantaginaceae	Wild plants	NA		NA	NA	NA
Plantago ovata/lanceolata	Plantago sp.	Plantago spp. (amplexicaulis, arenaria, coronopus, lagopus, lanceolata, major, ovata, psyllium, squarrosa)	Plantago	Plantaginaceae	Wild plants	NA		NA	NA	NA
Plantago sp.	Plantago sp.	Plantago spp. (amplexicaulis, arenaria, coronopus, lagopus, lanceolata, major, ovata, psyllium, squarrosa)	Plantago	Plantaginaceae	Wild plants	NA		NA	NA	NA
Plantago type	Plantago sp.	Plantago spp. (amplexicaulis, arenaria, coronopus, lagopus, lanceolata, major, ovata, psyllium, squarrosa)	Plantago	Plantaginaceae	Wild plants	NA		NA	NA	NA
Plantago squarrosa	Plantago squarrosa	Plantago spp. (amplexicaulis, arenaria, coronopus, lagopus, lanceolata, major, ovata, psyllium, squarrosa)	Plantago	Plantaginaceae	Wild plants	NA		NA	NA	NA
Poa bulbosa	Poa bulbosa	Poa spp. (incl. bulbosa)	Poa	Poaceae	Grasses	NA		Small-seeded	NA	NA
Poa bulbosa ssp. Vivipara	Poa bulbosa	Poa spp. (incl. bulbosa)	Poa	Poaceae	Grasses	NA		Small-seeded	NA	NA
cf. Poa sp.	Poa sp.	Poa spp. (incl. bulbosa)	Poa	Poaceae	Grasses	NA		Small-seeded	NA	NA
Poa	Poa sp.	Poa spp. (incl. bulbosa)	Poa	Poaceae	Grasses	NA		Small-seeded	NA	NA
Poa type	Poa sp.	Poa spp. (incl. bulbosa)	Poa	Poaceae	Grasses	NA		Small-seeded	NA	NA
Polycnemum majus A.Braun	Polycnemum majus	Polycnemum majus	Polycnemum	Amaranthaceae	Wild plants	NA		NA	NA	NA
Polygonatum sp.	Polygonatum sp.	Polygonatum sp.	Polygonatum	Asparagaceae	Wild plants	NA	flower, rhizomes, young stems, 	NA	NA	NA
Polygonum aviculare	Polygonum aviculare	Polygonum spp. (incl. aviculare, convolvulus, corrigioloides, lapathifolium, persicaria, salicifolium, venantianum)	Polygonum	Polygonaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Polygonum aviculare L.	Polygonum aviculare	Polygonum spp. (incl. aviculare, convolvulus, corrigioloides, lapathifolium, persicaria, salicifolium, venantianum)	Polygonum	Polygonaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Polygonum convolvulus	Polygonum convolvulus	Polygonum spp. (incl. aviculare, convolvulus, corrigioloides, lapathifolium, persicaria, salicifolium, venantianum)	Polygonum	Polygonaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Polygonum convolvulus L.	Polygonum convolvulus	Polygonum spp. (incl. aviculare, convolvulus, corrigioloides, lapathifolium, persicaria, salicifolium, venantianum)	Polygonum	Polygonaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Polygonum corregioloides type	Polygonum corrigioloides	Polygonum spp. (incl. aviculare, convolvulus, corrigioloides, lapathifolium, persicaria, salicifolium, venantianum)	Polygonum	Polygonaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Polygonum corrigioloides	Polygonum corrigioloides	Polygonum spp. (incl. aviculare, convolvulus, corrigioloides, lapathifolium, persicaria, salicifolium, venantianum)	Polygonum	Polygonaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Polygonum lapathifolium	Polygonum lapathifolium	Polygonum spp. (incl. aviculare, convolvulus, corrigioloides, lapathifolium, persicaria, salicifolium, venantianum)	Polygonum	Polygonaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Polygonum lapathifolium type	Polygonum lapathifolium	Polygonum spp. (incl. aviculare, convolvulus, corrigioloides, lapathifolium, persicaria, salicifolium, venantianum)	Polygonum	Polygonaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Polygonum persicaria	Polygonum persicaria	Polygonum spp. (incl. aviculare, convolvulus, corrigioloides, lapathifolium, persicaria, salicifolium, venantianum)	Polygonum	Polygonaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Polygonum persicaria L.	Polygonum persicaria	Polygonum spp. (incl. aviculare, convolvulus, corrigioloides, lapathifolium, persicaria, salicifolium, venantianum)	Polygonum	Polygonaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Polygonum persicaria L. uncarbonized	Polygonum persicaria	Polygonum spp. (incl. aviculare, convolvulus, corrigioloides, lapathifolium, persicaria, salicifolium, venantianum)	Polygonum	Polygonaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Polygonum salicifolium Brouss.	Polygonum salicifolium	Polygonum spp. (incl. aviculare, convolvulus, corrigioloides, lapathifolium, persicaria, salicifolium, venantianum)	Polygonum	Polygonaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
cf. Polygonum sp.	Polygonum sp.	Polygonum spp. (incl. aviculare, convolvulus, corrigioloides, lapathifolium, persicaria, salicifolium, venantianum)	Polygonum	Polygonaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Polygonum	Polygonum sp.	Polygonum spp. (incl. aviculare, convolvulus, corrigioloides, lapathifolium, persicaria, salicifolium, venantianum)	Polygonum	Polygonaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Polygonum aviculare/patulum	Polygonum sp.	Polygonum spp. (incl. aviculare, convolvulus, corrigioloides, lapathifolium, persicaria, salicifolium, venantianum)	Polygonum	Polygonaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Polygonum sp.	Polygonum sp.	Polygonum spp. (incl. aviculare, convolvulus, corrigioloides, lapathifolium, persicaria, salicifolium, venantianum)	Polygonum	Polygonaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Polygonum venantianum	Polygonum venantianum	Polygonum spp. (incl. aviculare, convolvulus, corrigioloides, lapathifolium, persicaria, salicifolium, venantianum)	Polygonum	Polygonaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Populus euphratica wood	Populus euphratica	Populus spp. (incl. euphratica)	Populus	Salicaceae	NA	NA		NA	NA	TRUE
Populus sp. wood	Populus sp.	Populus spp. (incl. euphratica)	Populus	Salicaceae	NA	NA		NA	NA	TRUE
Portulaca	Portulaca	Portulaca spp. (incl. oleraceae)	Portulaca	Portulacaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Portulaca oleracea	Portulaca oleracea	Portulaca spp. (incl. oleraceae)	Portulaca	Portulacaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Portulaca oleracea L.	Portulaca oleracea	Portulaca spp. (incl. oleraceae)	Portulaca	Portulacaceae	Wild plants	NA		NA	NA	NA
Portulaca oleracea subsp. stellata	Portulaca oleracea	Portulaca spp. (incl. oleraceae)	Portulaca	Portulacaceae	Wild plants	NA		NA	NA	NA
Potamogeton	Potamogeton sp.	Potamogeton sp.	Potamogeton	Potamogetonaceae	Wild plants	NA		NA	NA	NA
Potentilla	Potentilla sp.	Potentilla spp. (incl. supina)	Potentilla	Rosaceae	Wild plants	NA		NA	NA	NA
Potentilla sp. (uncarbonized)	Potentilla sp.	Potentilla spp. (incl. supina)	Potentilla	Rosaceae	Wild plants	NA		NA	NA	NA
Potentilla supina L.	Potentilla supina	Potentilla spp. (incl. supina)	Potentilla	Rosaceae	Wild plants	NA		NA	NA	NA
Prosopis farcta	Prosopis farcta	Prosopis spp. (incl. farcta)	Prosopis	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Prosopis farcta (Banks & Sol.) Macbride in Contrib. Gray Herb	Prosopis farcta	Prosopis spp. (incl. farcta)	Prosopis	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Prosopis	Prosopis sp.	Prosopis spp. (incl. farcta)	Prosopis	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Prosopis sp.	Prosopis sp.	Prosopis spp. (incl. farcta)	Prosopis	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Prunus microcarpa C. A. Meyer	Prunus microcarpa	Prunus spp. (incl. microcarpa, spinosa, divariacata, argentea)	Prunus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Prunus divaricata/argentea	Prunus sp.	Prunus spp. (incl. microcarpa, spinosa, divariacata, argentea)	Prunus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Prunus spinosa L.	Prunus spinosa	Prunus spp. (incl. microcarpa, spinosa, divariacata, argentea)	Prunus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Cerasus/Prunus	Prunus sp.	Prunus spp. (indeter)	Prunus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
cf. Prunus sp.	Prunus sp.	Prunus spp. (indeter)	Prunus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Prunus	Prunus sp.	Prunus spp. (indeter)	Prunus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Prunus sp.	Prunus sp.	Prunus spp. (indeter)	Prunus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Psilurus incurvus	Psilurus incurvus	Psilurus spp. (incl. incurvus)	Psilurus	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Psilurus	Psilurus sp.	Psilurus spp. (incl. incurvus)	Psilurus	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Pulicaria crispa	Pulicaria crispa	Pulicaria crispa	Pulicaria	Asteraceae	Wild plants	NA		NA	NA	NA
Pulicaria sp.	Pulicaria sp.	Pulicaria sp.	Pulicaria	Asteraceae	Wild plants	NA		NA	NA	NA
Pulicaria type	Pulicaria sp.	Pulicaria sp.	Pulicaria	Asteraceae	Wild plants	NA		NA	NA	NA
Punica granatum	Punica granatum	Punica spp. (incl. granatum)	Punica	Punicaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Punica	Punica sp.	Punica spp. (incl. granatum)	Punica	Punicaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Punica sp. L.	Punica sp.	Punica spp. (incl. granatum)	Punica	Punicaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Pyrus	Pyrus sp.	Pyrus sp.	Pyrus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Pyrus spp.	Pyrus sp.	Pyrus sp.	Pyrus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Quercus infectoria type wood	Quercus infectoria	Quercus spp. (incl. infectoria, ithaburensis)	Quercus	Fagaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	TRUE
Quercus ithaburensis	Quercus ithaburensis	Quercus spp. (incl. infectoria, ithaburensis)	Quercus	Fagaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Quercus	Quercus sp.	Quercus spp. (incl. infectoria, ithaburensis)	Quercus	Fagaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Quercus sp.	Quercus sp.	Quercus spp. (incl. infectoria, ithaburensis)	Quercus	Fagaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Quercus sp., wood	Quercus sp.	Quercus spp. (incl. infectoria, ithaburensis)	Quercus	Fagaceae	Fruits/nuts	NA	NA	NA	NA	TRUE
Ranunculus acris	Ranunculus acris	Ranunculus spp. (incl. acris, arvensis, repens, sceleratus)	Ranunculus	Ranunculaceae	Wild plants	NA		NA	NA	NA
Ranunculus arvensis L. uncarbonized	Ranunculus arvensis L. uncarbonized	Ranunculus spp. (incl. acris, arvensis, repens, sceleratus)	Ranunculus	Ranunculaceae	Wild plants	NA		NA	NA	NA
Ranunculus repens L.	Ranunculus repens	Ranunculus spp. (incl. acris, arvensis, repens, sceleratus)	Ranunculus	Ranunculaceae	Wild plants	NA		NA	NA	NA
Ranunculus repens L. type uncarbonized	Ranunculus repens	Ranunculus spp. (incl. acris, arvensis, repens, sceleratus)	Ranunculus	Ranunculaceae	Wild plants	NA		NA	NA	NA
Ranunculus sceleratus	Ranunculus sceleratus	Ranunculus spp. (incl. acris, arvensis, repens, sceleratus)	Ranunculus	Ranunculaceae	Wild plants	NA		NA	NA	NA
cf. Ranunculus sp.	Ranunculus sp.	Ranunculus spp. (incl. acris, arvensis, repens, sceleratus)	Ranunculus	Ranunculaceae	Wild plants	NA		NA	NA	NA
Ranunculus	Ranunculus sp.	Ranunculus spp. (incl. acris, arvensis, repens, sceleratus)	Ranunculus	Ranunculaceae	Wild plants	NA		NA	NA	NA
Ranunculus sp.	Ranunculus sp.	Ranunculus spp. (incl. acris, arvensis, repens, sceleratus)	Ranunculus	Ranunculaceae	Wild plants	NA		NA	NA	NA
Raphanus sp.	Raphanus sp.	Raphanus sp.	Raphanus	Brassicaceae	Wild plants	NA		NA	NA	NA
Reboudia pinnata	Reboudia pinnata	Reboudia pinnata	Reboudia	Liliaceae	Wild plants	NA		NA	NA	NA
Reboudia pinnata  (Viv.) O.E. Schulz	Reboudia pinnata	Reboudia pinnata	Reboudia	Liliaceae	Wild plants	NA		NA	NA	NA
Reseda decursiva	Reseda decursiva	Reseda spp. (incl. decursiva, lutea, luteola)	Reseda	Resedaceae	Wild plants	NA		NA	NA	NA
Reseda lutea	Reseda lutea	Reseda spp. (incl. decursiva, lutea, luteola)	Reseda	Resedaceae	Wild plants	NA		NA	NA	NA
Reseda luteola L.	Reseda luteola	Reseda spp. (incl. decursiva, lutea, luteola)	Reseda	Resedaceae	Wild plants	NA		NA	NA	NA
Reseda	Reseda sp.	Reseda spp. (incl. decursiva, lutea, luteola)	Reseda	Resedaceae	Wild plants	NA		NA	NA	NA
Reseda sp.	Reseda sp.	Reseda spp. (incl. decursiva, lutea, luteola)	Reseda	Resedaceae	Wild plants	NA		NA	NA	NA
Retama raetam	Retama raetam	Retama raetam	Retama	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Rhamnus sp., wood	Rhamnus sp.	Rhamnus sp.	Rhamnus	Rhamnaceae	Wild plants	NA		NA	NA	TRUE
Rosa	Rosa sp.	Rosa sp.	Rosa	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Rubus caesius L.	Rubus caesius	Rubus spp. (incl. caesius, fruticosus, idaeus, sanguineus)	Rubus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Rubus fruticosus agg.	Rubus fruticosus	Rubus spp. (incl. caesius, fruticosus, idaeus, sanguineus)	Rubus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Rubus idaeus L.	Rubus idaeus	Rubus spp. (incl. caesius, fruticosus, idaeus, sanguineus)	Rubus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Rubus sanguineus	Rubus sanguineus	Rubus spp. (incl. caesius, fruticosus, idaeus, sanguineus)	Rubus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Rubus	Rubus sp.	Rubus spp. (incl. caesius, fruticosus, idaeus, sanguineus)	Rubus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Rubus sp.	Rubus sp.	Rubus spp. (incl. caesius, fruticosus, idaeus, sanguineus)	Rubus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Rumex acetocella	Rumex acetocella	Rumex spp. (incl. acetocella, conglomeratus, crispus, dentatus, maritimus, pulcher, simpliciflorus, spinosus)	Rumex	Polygonaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
